year,month,day,ao_index_cdas
2019,12,1,0.617973149
2019,12,2,2.402124166
2019,12,3,3.015497684
2019,12,4,2.477474689
2019,12,5,2.345293999
2019,12,6,1.701402903
2019,12,7,1.517366648
2019,12,8,1.381973505
2019,12,9,0.643425286
2019,12,10,1.062743664
2019,12,11,1.975485086
2019,12,12,2.149626255
2019,12,13,1.802766204
2019,12,14,0.67053026
2019,12,15,-0.565006196
2019,12,16,-1.127760291
2019,12,17,-1.464543819
2019,12,18,-1.545414567
2019,12,19,-1.450489402
2019,12,20,-0.881375372
2019,12,21,-0.180887818
2019,12,22,-0.068479925
2019,12,23,-0.409527928
2019,12,24,-1.272179365
2019,12,25,-2.451042175
2019,12,26,-2.772589684
2019,12,27,-2.069726944
2019,12,28,-0.816958725
2019,12,29,0.613461554
2019,12,30,1.897720218
2019,12,31,3.11790061
2020,1,1,3.67885232
2020,1,2,3.393714905
2020,1,3,2.789674282
2020,1,4,3.080442429
2020,1,5,3.191256046
2020,1,6,3.293405771
2020,1,7,3.874709606
2020,1,8,3.830347776
2020,1,9,2.802143812
2020,1,10,2.814820766
2020,1,11,3.797461987
2020,1,12,4.453746319
2020,1,13,4.500079632
2020,1,14,4.059711933
2020,1,15,3.106467962
2020,1,16,2.091200352
2020,1,17,1.768672347
2020,1,18,1.33423543
2020,1,19,1.642009139
2020,1,20,1.685185075
2020,1,21,1.574548364
2020,1,22,1.580927253
2020,1,23,1.519322872
2020,1,24,1.328131437
2020,1,25,1.342452645
2020,1,26,0.876677155
2020,1,27,0.503356993
2020,1,28,-0.069012426
2020,1,29,-0.083285965
2020,1,30,0.793409288
2020,1,31,1.763635278
2020,2,1,2.036119938
2020,2,2,1.5881387
2020,2,3,1.204557061
2020,2,4,1.064381599
2020,2,5,1.547031879
2020,2,6,2.163687706
2020,2,7,2.505900383
2020,2,8,3.846958637
2020,2,9,5.76537466
2020,2,10,5.909760952
2020,2,11,4.421978474
2020,2,12,2.733200788
2020,2,13,1.655581117
2020,2,14,2.079858303
2020,2,15,3.247654438
2020,2,16,4.538975239
2020,2,17,4.806821346
2020,2,18,4.556467533
2020,2,19,4.276195049
